,ligand,receptor,pathway,ligand_annotation,TF
IL36G|IFNAR2,IL36G,IFNAR2,IL36,Secreted,"ZNF749, ZNF250, ZNF614, ZNF91, ZNF264, ZNF205, IRF1, ZNF615, ZNF324, ZNF671, STAT3, ZNF620, ZNF180, ZNF225, ZNF124, ZNF382, ZNF2, ZFP82, ZNF582, ZNF785, ZNF254, ZNF527, ZNF727, ZNF571, ZNF93, ZNF621, ZNF316, ZNF175, ZNF783, ZNF33B, ZNF136, ZNF627, ZNF132, ZNF354B, ZNF442, ZNF674, ZNF224, ZNF662, ZNF552, ZNF12, ZFP28, ZNF212, ZNF746, ZNF490, ZNF684, ZNF304, ZNF160, ZNF610, ZNF41, ZNF74, ZNF135, ZNF597, ZNF350, PML, ZNF283, ZNF200, ZNF589, STAT4, ZNF799, ZNF418, ZNF114, ZNF211, ZNF436, ZNF480, ZNF677, ZNF585A, ZNF791, ZNF33A, ZNF735, ZNF140, ZNF398, ZNF30, IRF3, ZNF25, ZNF611, ZNF860, ZNF543, ZNF701, ZNF98, ZNF816, ZFP57, RBAK, ZFP92, ZNF324B, ZNF786, STAT1, ZNF766, ZNF549, ZNF777, DBP, ZNF282, ZNF268, ZNF555, ZNF320, ZNF248, ZNF613, ZNF343, ZNF492, ZNF34, ZNF641, ZNF439, ZNF169, ZNF19, ZNF667, ZNF354A, ZNF416, ZNF790, ZNF440, STAT5B, IRF5, ZNF765, ZNF433, ZNF557, ZIK1, ZNF616, ZNF79, ZNF718, ZNF561, ZNF566, ZIM3, ZNF214, ZNF737, ZNF587, ZNF460, ZNF85, ZNF311, ZNF782, ZNF596, ZNF81, ZNF90, ZNF415, ZNF7, ZNF8, ZNF430, ZNF334, ZNF563, ZNF479, ZNF429, ZNF658, ZNF417, ZNF708, ZNF419, ZNF354C, ZNF707, ZNF26, ZNF468, ZNF713, ZNF141, ZNF730, ZNF562, ZNF317, ZNF768, ZNF101, ZNF3, IRF9, ZNF891, EGR1, ZNF792, ZNF267, ZNF157, STAT6, ZNF669, ZNF337, ZNF486, ZNF565, ZNF519, ZNF17, ZNF443, ZNF823, ZFP1, ZNF793, ZNF570, ZNF432, ZNF675, ZNF302, ZNF454, ZNF223, ZNF530, ZNF333, ZNF189, ZNF567, ZNF300, ZFP69, ZNF680, ZNF100, ZNF45, ZFP90, ZNF235, ZNF284, ZNF736, ZNF528, ZNF764, ZNF484, ZNF534, ZNF875, ZNF10, ZNF84, ZNF184, ZNF383, STAT2, ZFP14, ZNF584, ZNF879, ZNF846, FOS, STAT5A, ZNF682, ZNF273, ZNF44, ZNF331, ZNF605, ZNF154, ZNF285, ZNF77, ZNF182, ZNF554, ZFP69B, ZNF177, ZNF595, ZNF257, ZNF506, ZNF619, ZNF529, ZNF540, ZNF564, IRF7, ZNF23, ZNF778, MYC, ZNF761, ZNF780A, ZNF550, ZNF649, EIF2AK2, ZNF558, ZNF425, ZNF548, ZNF714, ZNF547, ZNF37A, ZNF222, ZNF716, ZNF181, ZNF133, ZNF431"
IL37|COMPLEX:IL18R1_SIGIRR,IL37,COMPLEX:IL18R1_SIGIRR,IL37,Secreted,"STAT3, NFKB1, RELA, JUN"
IL37|IL1RAPL1,IL37,IL1RAPL1,IL37,Secreted,"FOXO3, ESR2, JUND, ELK1, FOXO1, JUN, SP1, FOXO4, FOSB, FOSL1, ESR1, RELA, FOS, JUNB, TP53, NFKB1, EGR1, SMAD3, ATF2, SMAD4, FOXO6, FOSL2"
IL4|COMPLEX:IL2RG_IL4R,IL4,COMPLEX:IL2RG_IL4R,IL4,Secreted,"RORC, FOXO3, CEBPB, STAT3, FOXO1, FOXO4, RUNX3, STAT2, STAT1, FOS, DBP, STAT5A, HIF1A, ATOH1, JUNB, IRF9, STAT5B, MYC, STAT6, RORA, STAT4, FOXO6, GTF2I, GATA3"
IL4|COMPLEX:IL13RA2_IL4R,IL4,COMPLEX:IL13RA2_IL4R,IL4,Secreted,"MYC, STAT6, STAT2, STAT1, STAT4, STAT3, STAT5A, DBP, GTF2I, IRF9, GATA3, ATOH1, STAT5B"
IL4|CD53,IL4,CD53,IL4,Secreted,
IL4|IL13RA1,IL4,IL13RA1,IL4,Secreted,"MYC, STAT6, STAT2, STAT1, STAT4, STAT3, DBP, GTF2I, IRF9, STAT5A, ATOH1, STAT5B"
IL3|COMPLEX:IL3RA_CSF2RB,IL3,COMPLEX:IL3RA_CSF2RB,IL4,Secreted,"THRA, STAT3, RUNX3, STAT2, STAT1, RELA, DBP, STAT5A, HIF1A, ATOH1, NFKB1, IRF9, STAT5B, MYC, STAT6, NFKBIA, STAT4, IKBKB, GTF2I"
IL5|COMPLEX:IL5RA_CSF2RB,IL5,COMPLEX:IL5RA_CSF2RB,IL4,Secreted,"TCF7L2, THRA, STAT3, SOX4, RUNX3, STAT2, STAT1, RELA, DBP, STAT5A, HIF1A, ATOH1, NFKB1, IRF9, STAT5B, MYC, STAT6, NFKBIA, STAT4, IKBKB, GTF2I"
IL4|COMPLEX:IL4R_IL13RA1,IL4,COMPLEX:IL4R_IL13RA1,IL4,Secreted,"MYC, STAT6, STAT2, STAT1, STAT4, STAT3, STAT5A, DBP, GTF2I, IRF9, GATA3, ATOH1, STAT5B"
IL4|COMPLEX:IL4R_IL13RA2,IL4,COMPLEX:IL4R_IL13RA2,IL4,Secreted,"MYC, STAT6, STAT2, STAT1, STAT4, STAT3, STAT5A, DBP, GTF2I, IRF9, GATA3, ATOH1, STAT5B"
IL13|COMPLEX:IL4R_IL13RA1,IL13,COMPLEX:IL4R_IL13RA1,IL4,Secreted,"MYC, STAT6, STAT2, STAT1, STAT4, STAT3, STAT5A, DBP, GTF2I, IRF9, GATA3, ATOH1, STAT5B"
IL13|COMPLEX:IL4R_IL13RA2,IL13,COMPLEX:IL4R_IL13RA2,IL4,Secreted,"MYC, STAT6, STAT2, STAT1, STAT4, STAT3, STAT5A, DBP, GTF2I, IRF9, GATA3, ATOH1, STAT5B"
IL13|IL13RA1,IL13,IL13RA1,IL4,Secreted,"MYC, STAT6, STAT2, STAT1, STAT4, STAT3, DBP, GTF2I, IRF9, STAT5A, ATOH1, STAT5B"
IL13|IL13RA2,IL13,IL13RA2,IL4,Secreted,"MYC, STAT6, STAT2, STAT1, STAT4, STAT3, IRF9, STAT5A, STAT5B"
IL5|COMPLEX:CSF2RB_IL5RA,IL5,COMPLEX:CSF2RB_IL5RA,IL5,Secreted,"TCF7L2, THRA, STAT3, SOX4, RUNX3, STAT2, STAT1, RELA, DBP, STAT5A, HIF1A, ATOH1, NFKB1, IRF9, STAT5B, MYC, STAT6, NFKBIA, STAT4, IKBKB, GTF2I"
IL6|COMPLEX:IL6R_IL6ST,IL6,COMPLEX:IL6R_IL6ST,IL6,Secreted,"NR4A1, RORC, FOXO3, CREB5, ESR2, THRA, CEBPB, CREB3L1, ATF6B, STAT3, ERF, ETS2, CREB3L4, ELK1, FOXO1, JUN, HSF1, SP1, FOXO4, STAT2, ESR1, STAT1, RELA, FOS, DBP, STAT5A, HIF1A, ATOH1, ETS1, JUNB, TP53, NFKB1, MITF, NFATC3, ATF4, IRF9, STAT5B, CREB3L2, EGR1, MYC, SMAD3, STAT6, NFATC1, RORA, ATF2, CREB3, STAT4, RUNX2, FOXO6, GTF2I, NFATC2, CREB1, THRB"
IL6ST|ERBB2,IL6ST,ERBB2,IL6ST,unSecreted,"NR4A1, FOXO3, TCF7L2, BRCA1, THRA, ATF6B, STAT3, PITX2, ERF, FOXO1, HSF1, RUNX3, EP300, HIF1A, TP53, RARA, CREB3L2, PPARG, SMAD3, ATF2, STAT4, CREB1, MDM2, HNF1A, ELK1, CREBBP, RXRA, AR, STAT1, MITF, GATA4, STAT5B, TCF7, RBL2, MYOD1, IKBKB, LEF1, NFATC2, CREB5, CEBPB, TCF7L1, ETS2, POU5F1, SNAI1, SP1, XBP1, ATF4, IRF9, CTNNB1, EGR1, STAT6, NR4A2, NFATC1, NFKBIA, RUNX2, GATA3, PGR, ESR2, CREB3L1, CREB3L4, TCF4, JUN, FOXO4, NR4A3, STAT2, ESR1, RELA, FOS, STAT5A, CREB3L3, ETS1, KLF4, NFKB1, ELF3, NFATC3, MYC, E2F1, CREB3, MYB, THRB"
IL6ST|ERBB3,IL6ST,ERBB3,IL6ST,unSecreted,"NR4A1, FOXO3, BRCA1, CREB5, THRA, CREB3L1, ATF6B, CREB3L4, STAT3, RUNX3, RXRA, STAT2, RELA, STAT1, STAT5A, HIF1A, CREB3L3, TP53, NFKB1, ATF4, IRF9, STAT5B, CREB3L2, MYC, RBL2, STAT6, ATF2, CREB3, STAT4, IKBKB, MYB, CREB1, MDM2"
IL7|COMPLEX:IL2RG_IL7R,IL7,COMPLEX:IL2RG_IL7R,IL7,Secreted,"RORC, FOXO3, CEBPB, STAT3, FOXO1, FOXO4, RUNX3, STAT2, STAT1, FOS, DBP, STAT5A, HIF1A, JUNB, IRF9, STAT5B, MYC, STAT6, RORA, STAT4, FOXO6, GATA3"
IL7R|CRLF2,IL7R,CRLF2,IL7R,unSecreted,"MYC, STAT6, STAT2, STAT1, STAT4, STAT3, DBP, GTF2I, IRF9, STAT5A, ATOH1, STAT5B"
IL9|COMPLEX:IL2RG_IL9R,IL9,COMPLEX:IL2RG_IL9R,IL9,Secreted,"RORC, FOXO3, CEBPB, STAT3, FOXO1, FOXO4, RUNX3, STAT2, STAT1, FOS, DBP, STAT5A, HIF1A, JUNB, IRF9, STAT5B, MYC, STAT6, RORA, STAT4, FOXO6, GATA3"
INS|INSR,INS,INSR,INSULIN,Secreted,"NR4A1, FOXO3, BRCA1, CREB5, THRA, CREB3L1, ATF6B, CREB3L4, SREBF1, STAT3, ELK1, FOXO1, MLX, FOXO4, MLXIPL, RXRA, RELA, GTF2IRD1, FOS, NR1H2, STAT5A, PPARGC1A, CREB3L3, TP53, NFKB1, NKX3-1, ATF4, NR1H4, NFE2L2, CREB3L2, HOXA10, PPARG, NR1H3, MYC, RBL2, EHMT2, MLXIP, ATF2, CREB3, IKBKB, MYB, FOXO6, GTF2I, CREB1, MDM2"
INS|IGF1R,INS,IGF1R,INSULIN,Secreted,"NR4A1, FOXO3, BRCA1, MED1, ESR2, TCF7L2, CREB5, THRA, TCF7L1, CREB3L1, ATF6B, STAT3, CREB3L4, ERF, CEBPB, ETS2, ELK1, NCOA3, FOXO1, JUN, HSF1, FOXO4, SP1, CREBBP, RUNX3, RXRA, STAT2, EP300, ESR1, RELA, FOS, TRAF6, STAT1, STAT5A, HIF1A, ETS1, CREB3L3, TP53, NFKB1, NKX3-1, MITF, NFATC3, ATF4, NR1H4, NFE2L2, IRF9, CTNNB1, NFKB2, STAT5B, CREB3L2, TCF7, PPARG, EGR1, MYC, SMAD3, RBL2, STAT6, NFATC1, EHMT2, NFKBIA, ATF2, CREB3, STAT4, IKBKB, MYB, LEF1, FOXO6, NFATC2, CREB1, MDM2, RUNX2, THRB"
INS|LRP2,INS,LRP2,INSULIN,Secreted,GATA3
ITGB1|ENG,ITGB1,ENG,ITG,unSecreted,
ITGB1|CD151,ITGB1,CD151,ITG,unSecreted,
ITGB1|CD81,ITGB1,CD81,ITG,unSecreted,
ITGA2B|ENG,ITGA2B,ENG,ITG,unSecreted,
ITGA5|ENG,ITGA5,ENG,ITG,unSecreted,
ITGA5|CD9,ITGA5,CD9,ITG,unSecreted,
ITGA4|CD82,ITGA4,CD82,ITG,unSecreted,
ITGA4|CD81,ITGA4,CD81,ITG,unSecreted,
ITGB4|EGFR,ITGB4,EGFR,ITG,unSecreted,"NR4A1, FOXO3, BRCA1, TCF7L2, TP73, THRA, IRF1, ATF6B, STAT3, ERF, DNMT1, FOXO1, HSF1, RUNX3, EP300, TRAF6, ABL1, HIF1A, TP53, RARA, CREB3L2, PPARG, SMAD3, NFKBIB, ATF2, STAT4, HIC1, CREB1, MDM2, IRF3, MED1, ELK1, CREBBP, RXRA, AR, STAT1, DBP, MITF, NFKB2, STAT5B, TCF7, RBL2, RORA, IKBKB, LEF1, FOXO6, NFATC2, ARNT, CREB5, PRDM1, CEBPB, TCF7L1, ETS2, SPI1, NCOA3, SP1, XBP1, JUNB, TFCP2, ATF4, IRF9, CTNNB1, EGR1, STAT6, NFATC1, NFKBIA, RUNX2, GATA3, PGR, ESR2, CREB3L1, CREB3L4, SRF, JUN, FOXO4, STAT2, ESR1, RELA, FOS, STAT5A, CREB3L3, ETS1, KLF4, NFKB1, USF1, NFATC3, MYC, E2F1, CREB3, MYB, THRB"
ITGA6|CD63,ITGA6,CD63,ITG,unSecreted,
ITGA6|CD36,ITGA6,CD36,ITG,unSecreted,
ITGA6|CD82,ITGA6,CD82,ITG,unSecreted,
ITGA6|CD151,ITGA6,CD151,ITG,unSecreted,
ITGA3|CD151,ITGA3,CD151,ITG,unSecreted,
ITGB2|CD226,ITGB2,CD226,ITG,unSecreted,
ITGB2|ICAM1,ITGB2,ICAM1,ITG,unSecreted,"RUNX3, E2F1, ESR1, STAT1, STAT3, STAT5A, HIF1A, STAT5B"
ITGB2|ICAM2,ITGB2,ICAM2,ITG,unSecreted,
IZUMO1|CD9,IZUMO1,CD9,IZUMO1,unSecreted,
JAML|CXADR,JAML,CXADR,JAM,unSecreted,
JAM3|COMPLEX:ITGAM_ITGB2,JAM3,COMPLEX:ITGAM_ITGB2,JAM,unSecreted,"NFATC1, NFKB1, SP1, THRA, RELA, FOS, STAT3, NFATC3, NFATC2, JUN"
JAM2|COMPLEX:ITGA3_ITGB1,JAM2,COMPLEX:ITGA3_ITGB1,JAM,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
JAM2|COMPLEX:ITGAV_ITGB1,JAM2,COMPLEX:ITGAV_ITGB1,JAM,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RUNX3, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, HIF1A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
JAM2|JAM3,JAM2,JAM3,JAM,unSecreted,GATA4
F11R|F11R,F11R,F11R,JAM,unSecreted,GATA4
F11R|JAM2,F11R,JAM2,JAM,unSecreted,GATA4
F11R|JAM3,F11R,JAM3,JAM,unSecreted,GATA4
JAM2|F11R,JAM2,F11R,JAM,unSecreted,GATA4
JAM2|JAM2,JAM2,JAM2,JAM,unSecreted,GATA4
JAM3|F11R,JAM3,F11R,JAM,unSecreted,GATA4
JAM3|JAM2,JAM3,JAM2,JAM,unSecreted,GATA4
JAM3|JAM3,JAM3,JAM3,JAM,unSecreted,GATA4
KISS1|KISS1R,KISS1,KISS1R,KISS1,Secreted,JUN
KIT|IL7R,KIT,IL7R,KIT,unSecreted,"MYC, STAT6, STAT2, STAT1, STAT4, STAT3, DBP, IRF9, STAT5A, STAT5B"
KIT|EPOR,KIT,EPOR,KIT,unSecreted,"MYC, STAT6, RUNX3, STAT2, STAT1, STAT4, STAT3, DBP, GTF2I, IRF9, STAT5A, HIF1A, ATOH1, STAT5B"
KITLG|KIT,KITLG,KIT,KIT,Secreted,"NR4A1, RORC, FOXO3, TCF7L2, CREB5, BRCA1, IRF1, THRA, CEBPB, TCF7L1, CREB3L1, ATF6B, CREB3L4, STAT3, FOXO1, JUN, FOXO4, RUNX3, RXRA, STAT2, RELA, FOS, TRAF6, STAT1, DBP, STAT5A, HIF1A, ATOH1, CREB3L3, ETS1, JUNB, TP53, NFKB1, MITF, ATF4, IRF9, CTNNB1, NFKB2, STAT5B, CREB3L2, TCF7, HOXA10, MYC, RBL2, STAT6, RORA, NFKBIA, ATF2, CREB3, IKBKB, MYB, LEF1, GTF2I, FOXO6, CREB1, MDM2, ARNT"
KITLG|EPOR,KITLG,EPOR,KIT,Secreted,"MYC, STAT6, RUNX3, STAT2, STAT1, STAT4, STAT3, DBP, GTF2I, IRF9, STAT5A, HIF1A, ATOH1, STAT5B"
KLB|FGFR1,KLB,FGFR1,KLB,unSecreted,"NR4A1, FOXO3, TCF7L2, CREB5, BRCA1, THRA, TCF7L1, CREB3L1, ATF6B, CREB3L4, FOXO1, JUN, CREBBP, RUNX3, RXRA, EP300, RELA, FOS, TRAF6, HIF1A, CREB3L3, ETS1, TP53, NFKB1, ATF4, CTNNB1, NFKB2, CREB3L2, TCF7, MYC, RBL2, NFKBIA, ATF2, CREB3, IKBKB, MYB, LEF1, CREB1, MDM2"
KNG1|ITGB2,KNG1,ITGB2,KNG1,Secreted,"NFATC1, SP1, NFKB1, THRA, RELA, FOS, STAT3, NFATC3, NFATC2, JUN"
KNG1|GP1BA,KNG1,GP1BA,KNG1,Secreted,THRA
KNG1|SDC2,KNG1,SDC2,KNG1,Secreted,"NFATC1, AR, ESR1, NFATC3, NFATC2, CREB1"
KNG1|PLAUR,KNG1,PLAUR,KNG1,Secreted,"STAT3, PPARG, RXRA, AR, STAT1, STAT5B, GTF2I, ESR1, FOS, STAT5A"
KNG1|GPR135,KNG1,GPR135,KNG1,Secreted,
KNG1|RXFP4,KNG1,RXFP4,KNG1,Secreted,
KNG1|CD93,KNG1,CD93,KNG1,Secreted,
KREMEN1|LRP6,KREMEN1,LRP6,KREMEN1,unSecreted,"MYC, SMAD3, HSF1, MLXIPL, TCF7L2, ARNTL, FOSL1, TCF7L1, GLI3, CLOCK, LEF1, GLI2, FOXM1, CTNNB1, PPARD, TBP, TCF7, JUN"
L1CAM|COMPLEX:ITGAV_ITGB3,L1CAM,COMPLEX:ITGAV_ITGB3,L1CAM,unSecreted,"NFKB1, RUNX3, RXRA, AR, ESR1, STAT1, FOS, STAT3, RELA, GTF2I, STAT5A, HIF1A, STAT5B, PPARG"
L1CAM|COMPLEX:ITGA4_ITGB7,L1CAM,COMPLEX:ITGA4_ITGB7,L1CAM,unSecreted,"SP1, RXRA, AR, ESR1, STAT1, FOS, STAT3, GTF2I, STAT5A, STAT5B, PPARG, JUN"
L1CAM|NRP1,L1CAM,NRP1,L1CAM,unSecreted,"HIF1A, TP53, FOXO3, JUN"
L1CAM|EGFR,L1CAM,EGFR,L1CAM,unSecreted,"NR4A1, FOXO3, BRCA1, TCF7L2, TP73, THRA, IRF1, ATF6B, STAT3, ERF, DNMT1, FOXO1, HSF1, RUNX3, EP300, TRAF6, ABL1, HIF1A, TP53, RARA, CREB3L2, PPARG, SMAD3, NFKBIB, ATF2, STAT4, HIC1, CREB1, MDM2, IRF3, MED1, ELK1, CREBBP, RXRA, AR, STAT1, DBP, MITF, NFKB2, STAT5B, TCF7, RBL2, RORA, IKBKB, LEF1, FOXO6, NFATC2, ARNT, CREB5, PRDM1, CEBPB, TCF7L1, ETS2, SPI1, NCOA3, SP1, XBP1, JUNB, TFCP2, ATF4, IRF9, CTNNB1, EGR1, STAT6, NFATC1, NFKBIA, RUNX2, GATA3, PGR, ESR2, CREB3L1, CREB3L4, SRF, JUN, FOXO4, STAT2, ESR1, RELA, FOS, STAT5A, CREB3L3, ETS1, KLF4, NFKB1, USF1, NFATC3, MYC, E2F1, CREB3, MYB, THRB"
L1CAM|ERBB2,L1CAM,ERBB2,L1CAM,unSecreted,"NR4A1, FOXO3, TCF7L2, BRCA1, THRA, ATF6B, STAT3, PITX2, ERF, FOXO1, HSF1, RUNX3, EP300, HIF1A, TP53, RARA, CREB3L2, PPARG, SMAD3, ATF2, STAT4, CREB1, MDM2, HNF1A, ELK1, CREBBP, RXRA, AR, STAT1, MITF, GATA4, STAT5B, TCF7, RBL2, MYOD1, IKBKB, LEF1, NFATC2, CREB5, CEBPB, TCF7L1, ETS2, POU5F1, SNAI1, SP1, XBP1, ATF4, IRF9, CTNNB1, EGR1, STAT6, NR4A2, NFATC1, NFKBIA, RUNX2, GATA3, PGR, ESR2, CREB3L1, CREB3L4, TCF4, JUN, FOXO4, NR4A3, STAT2, ESR1, RELA, FOS, STAT5A, CREB3L3, ETS1, KLF4, NFKB1, ELF3, NFATC3, MYC, E2F1, CREB3, MYB, THRB"
L1CAM|FGFR1,L1CAM,FGFR1,L1CAM,unSecreted,"NR4A1, FOXO3, TCF7L2, CREB5, BRCA1, THRA, TCF7L1, CREB3L1, ATF6B, CREB3L4, FOXO1, JUN, CREBBP, RUNX3, RXRA, EP300, RELA, FOS, TRAF6, HIF1A, CREB3L3, ETS1, TP53, NFKB1, ATF4, CTNNB1, NFKB2, CREB3L2, TCF7, MYC, RBL2, NFKBIA, ATF2, CREB3, IKBKB, MYB, LEF1, CREB1, MDM2"
L1CAM|ERBB3,L1CAM,ERBB3,L1CAM,unSecreted,"NR4A1, FOXO3, BRCA1, CREB5, THRA, CREB3L1, ATF6B, CREB3L4, STAT3, RUNX3, RXRA, STAT2, RELA, STAT1, STAT5A, HIF1A, CREB3L3, TP53, NFKB1, ATF4, IRF9, STAT5B, CREB3L2, MYC, RBL2, STAT6, ATF2, CREB3, STAT4, IKBKB, MYB, CREB1, MDM2"
L1CAM|CD9,L1CAM,CD9,L1CAM,unSecreted,
L1CAM|PTPRZ1,L1CAM,PTPRZ1,L1CAM,unSecreted,
L1CAM|EPHB2,L1CAM,EPHB2,L1CAM,unSecreted,"STAT6, NFKB1, TP73, RXRA, AR, CEBPB, STAT1, ESR1, STAT3, FOS, RELA, ABL1, RUNX2, GTF2I, STAT5A, STAT5B, PPARG"
L1CAM|CNTN1,L1CAM,CNTN1,L1CAM,unSecreted,"PAX8, SOX2, HES5, RBPJ, SMAD1, LEF1, HES1, HIF1A, MEF2C"
L1CAM|ALCAM,L1CAM,ALCAM,L1CAM,unSecreted,
L1CAM|PLXNA1,L1CAM,PLXNA1,L1CAM,unSecreted,"TP53, NFKB1, FOXO3, RELA, HIF1A, JUN"
L1CAM|L1CAM,L1CAM,L1CAM,L1CAM,unSecreted,"STAT3, TP53, NKX3-1, NFE2L2, ATF2, IKZF1, SOX9, NR1H4, FOS"
LACRT|SDC1,LACRT,SDC1,LACRT,Secreted,"NR4A1, CREB5, ESR2, CEBPB, CREB3L1, ATF6B, ETS2, ERF, CREB3L4, ELK1, JUN, HSF1, SP1, AR, ESR1, STAT1, RELA, FOS, HIF1A, ETS1, TP53, NFKB1, MITF, NFATC3, ATF4, CREB3L2, EGR1, SMAD3, MYC, NFATC1, ATF2, CREB3, RUNX2, NFATC2, CREB1, THRB"
COMPLEX:LAMA1_LAMB1_LAMC1|COMPLEX:ITGA6_ITGB1,COMPLEX:LAMA1_LAMB1_LAMC1,COMPLEX:ITGA6_ITGB1,LAMININ,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COMPLEX:LAMA3_LAMB3_LAMC2|COMPLEX:ITGA6_ITGB4,COMPLEX:LAMA3_LAMB3_LAMC2,COMPLEX:ITGA6_ITGB4,LAMININ,unSecreted,"SP1, RXRA, AR, ESR1, STAT1, FOS, STAT3, GTF2I, STAT5A, STAT5B, PPARG, JUN"
LAMA5|ITGB4,LAMA5,ITGB4,LAMININ,unSecreted,"SP1, RXRA, AR, ESR1, STAT1, FOS, STAT3, GTF2I, STAT5A, STAT5B, PPARG, JUN"
LAMA5|ITGA6,LAMA5,ITGA6,LAMININ,unSecreted,"STAT3, FOS, SP1, JUN"
LAMA5|CD151,LAMA5,CD151,LAMININ,unSecreted,
LAMA5|BCAM,LAMA5,BCAM,LAMININ,unSecreted,
LAMB1|ITGB4,LAMB1,ITGB4,LAMININ,unSecreted,"SP1, RXRA, AR, ESR1, STAT1, FOS, STAT3, GTF2I, STAT5A, STAT5B, PPARG, JUN"
LAMB1|CD151,LAMB1,CD151,LAMININ,unSecreted,
LAMA2|ITGB1,LAMA2,ITGB1,LAMININ,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
LAMA2|RPSA,LAMA2,RPSA,LAMININ,unSecreted,"HSF1, ATF5, MLXIPL, ATF4, DDIT3, FOXM1"
LAMA2|ITGB4,LAMA2,ITGB4,LAMININ,unSecreted,"SP1, RXRA, AR, ESR1, STAT1, FOS, STAT3, GTF2I, STAT5A, STAT5B, PPARG, JUN"
LAMA2|ITGA6,LAMA2,ITGA6,LAMININ,unSecreted,"STAT3, FOS, SP1, JUN"
LAMA2|ITGA7,LAMA2,ITGA7,LAMININ,unSecreted,"STAT3, FOS, SP1, JUN"
LAMA1|COMPLEX:ITGA9_ITGB1,LAMA1,COMPLEX:ITGA9_ITGB1,LAMININ,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
LAMA1|RPSA,LAMA1,RPSA,LAMININ,unSecreted,"HSF1, ATF5, MLXIPL, ATF4, DDIT3, FOXM1"
LAMA1|ITGB4,LAMA1,ITGB4,LAMININ,unSecreted,"SP1, RXRA, AR, ESR1, STAT1, FOS, STAT3, GTF2I, STAT5A, STAT5B, PPARG, JUN"
LAMA1|ITGA2,LAMA1,ITGA2,LAMININ,unSecreted,"NR4A1, PAX8, THRA, CREB5, ESR2, CREB3L1, ATF6B, STAT3, GLI3, NR5A1, CREB3L4, JUN, SP1, MLXIPL, STAT2, ESR1, RELA, FOS, ATF1, NFKB1, ATF4, GLI2, PDX1, CREB3L2, GLI1, ATF2, CREB3, SOX9, RUNX2, PPARA, PBX1, CREB1"
